Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",5,Riverhead Books,Paperback,371,2004,2003,2014/03/13,2013/10/04,,,read,,,,1,0
16142151,"The Companions (The Sundering, #1; Legend of Drizzt, #24)",R.A. Salvatore,"Salvatore, R.A.",,"=""0786963719""","=""9780786963713""",0,Wizards of the Coast,Hardcover,384,2013,2013,,2014/02/22,to-read,to-read (#26),to-read,,,,0,0
18007558,"The Reaver (The Sundering, #4)",Richard Lee Byers,"Byers, Richard Lee",,"=""0786964588""","=""9780786964581""",0,Wizards of the Coast,Hardcover,352,2014,2014,,2014/02/22,to-read,to-read (#25),to-read,,,,0,0
18079689,Social Physics: How Good Ideas Spread— The Lessons from a New Science,Alex Pentland,"Pentland, Alex",,"=""1594205655""","=""9781594205651""",0,Penguin Press,Hardcover,320,2014,2014,,2014/02/22,to-read,to-read (#24),to-read,,,,0,0
151751,"Thank You for Arguing: What Aristotle, Lincoln, and Homer Simpson Can Teach Us About the Art of Persuasion",Jay Heinrichs,"Heinrichs, Jay",,"=""0307341445""","=""9780307341440""",0,Three Rivers Press,Paperback,336,2007,2007,,2014/02/22,to-read,to-read (#23),to-read,,,,0,0
4407,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,Headline Review,Paperback,635,2005,2001,2014/02/22,2013/08/23,,,read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",3,Free Press,Paperback,372,2004,1989,2012/03/04,2014/02/22,,,read,,,,1,0
7118873,"Personality, Character, and Intelligence: Part Three from What the Dog Saw",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316086185""","=""9780316086189""",2,"Little, Brown and Company",Kindle Edition,100,2009,2009,2013/08/10,2012/12/07,,,read,,,,1,0
590652,The Slight Edge,Jeff Olson,"Olson, Jeff",,"=""0967285550""","=""9780967285559""",0,Momentum Media,Paperback,168,2005,2005,,2014/01/26,to-read,to-read (#22),to-read,,,,0,0
4224060,The Element: How Finding Your Passion Changes Everything,Ken Robinson,"Robinson, Ken",Lou Aronica,"=""0670020478""","=""9780670020478""",3,Viking Books,Hardcover,288,2009,2009,2014/01/24,2014/01/19,,,read,,,,1,0
21996,The Devil in the White City,Erik Larson,"Larson, Erik",Tony Goldwyn,"=""0739303406""","=""9780739303405""",2,Random House Audio Publishing Group,Paperback,496,2003,2003,2014/01/19,2013/12/15,,,read,0/10 Burnham<br/>6/10 Holmes story arc,,,1,0
100021,What Does It All Mean? A Very Short Introduction to Philosophy,Thomas Nagel,"Nagel, Thomas",,"=""0195052161""","=""9780195052169""",3,Oxford University Press,Paperback,112,1987,1987,2014/01/16,2013/09/07,,,read,,,,1,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",0,Random House,Paperback,709,2000,2000,,2014/01/16,to-read,to-read (#21),to-read,,,,0,0
16718,"Gun, With Occasional Music",Jonathan Lethem,"Lethem, Jonathan",,"=""0156028972""","=""9780156028974""",0,Ecco,Paperback,271,2003,1994,,2014/01/16,to-read,to-read (#20),to-read,,,,0,0
11709037,You Are Not So Smart,David McRaney,"McRaney, David",,"=""1592406599""","=""9781592406593""",5,Gotham,Hardcover,302,2011,2011,2013/12/31,2013/10/16,,,read,,,,1,0
7783191,The Invisible Gorilla: And Other Ways Our Intuitions Deceive Us,Christopher Chabris,"Chabris, Christopher",Daniel Simons,"=""0307459659""","=""9780307459657""",0,Harmony,Hardcover,320,2010,2010,,2013/12/31,to-read,to-read (#19),to-read,,,,0,0
6678064,The Elements: A Visual Exploration of Every Known Atom in the Universe,Theodore Gray,"Gray, Theodore",,"=""1579128149""","=""9781579128142""",3,Black Dog & Leventhal,Hardcover,240,2009,2009,2013/12/31,2013/12/31,,,read,,,,1,0
